"","word","freq"
"mental","mental",75
"health","health",59
"work","work",54
"person","person",52
"people","people",43
"issues","issues",42
"coworker","coworker",39
"manager","manager",35
"job","job",34
"depression","depression",31
"fired","fired",31
"told","told",31
"previous","previous",30
"anxiety","anxiety",27
"just","just",26
"employer","employer",25
"support","support",25
"time","time",25
"employee","employee",24
"made","made",22
"coworkers","coworkers",21
"team","team",21
"company","company",20
"someone","someone",20
"let","let",19
"one","one",18
"supervisor","supervisor",18
"get","get",17
"issue","issue",17
"leave","leave",17
"take","take",17
"quit","quit",16
"performance","performance",15
"stress","stress",15
"boss","boss",14
"needed","needed",14
"treated","treated",14
"disorder","disorder",13
"employees","employees",13
"burnout","burnout",12
"got","got",12
"illness","illness",12
"office","office",12
"another","another",11
"former","former",11
"help","help",11
"ignored","ignored",11
"back","back",10
"comments","comments",10
"deal","deal",10
